,0,"""require""",STRLIT,EXPRESSION,"""function""",IDENTIFIER,"""(""",""")""","""end""",""":""",TYPE,""",""","""global""","""=""","""local""","""if""","""then""","""else""","""elsif""","""while""","""do""","""return""","""for""","""repeat""","""until""",$,
IDENTIFIER,,,,,,pop 0,,,,,,,,,,,,,,,,,,,,,
"""(""",,,,,,,pop 0,,,,,,,,,,,,,,,,,,,,
""")""",,,,,,,,pop 0,,,,,,,,,,,,,,,,,,,
"""end""",,,,,,,,,pop 0,,,,,,,,,,,,,,,,,,
""":""",,,,,,,,,,pop 0,,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,,,pop 0,,,,,,,,,,,,,,,,
""",""",,,,,,,,,,,,pop 0,,,,,,,,,,,,,,,
"""global""",,,,,,,,,,,,,pop 0,,,,,,,,,,,,,,
"""=""",,,,,,,,,,,,,,pop 0,,,,,,,,,,,,,
"""local""",,,,,,,,,,,,,,,pop 0,,,,,,,,,,,,
"""if""",,,,,,,,,,,,,,,,pop 0,,,,,,,,,,,
"""then""",,,,,,,,,,,,,,,,,pop 0,,,,,,,,,,
"""else""",,,,,,,,,,,,,,,,,,pop 0,,,,,,,,,
"""elsif""",,,,,,,,,,,,,,,,,,,pop 0,,,,,,,,
"""while""",,,,,,,,,,,,,,,,,,,,pop 0,,,,,,,
"""do""",,,,,,,,,,,,,,,,,,,,,pop 0,,,,,,
"""return""",,,,,,,,,,,,,,,,,,,,,,pop 0,,,,,
"""for""",,,,,,,,,,,,,,,,,,,,,,,pop 0,,,,
"""repeat""",,,,,,,,,,,,,,,,,,,,,,,,pop 0,,,
"""until""",,,,,,,,,,,,,,,,,,,,,,,,,pop 0,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,accept,
"""require""","""require""",,,,,,,,,,,,,,,,,,,,,,,,,,
STRLIT,STRLIT,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION,EXPRESSION,,,,,,,,,,,,,,,,,,,,,,,,,,
"""function""","""function""",,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFIER,IDENTIFIER,,,,,,,,,,,,,,,,,,,,,,,,,,
"""(""","""(""",,,,,,,,,,,,,,,,,,,,,,,,,,
""")""",""")""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""end""","""end""",,,,,,,,,,,,,,,,,,,,,,,,,,
""":""",""":""",,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,
""",""",""",""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""global""","""global""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""=""","""=""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""local""","""local""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""if""","""if""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""then""","""then""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""else""","""else""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""elsif""","""elsif""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""while""","""while""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""do""","""do""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""return""","""return""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""for""","""for""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""repeat""","""repeat""",,,,,,,,,,,,,,,,,,,,,,,,,,
"""until""","""until""",,,,,,,,,,,,,,,,,,,,,,,,,,
$,$,,,,,,,,,,,,,,,,,,,,,,,,,,
