;0;"""require""";STRLIT;IDENTIFIER;"""function""";"""(""";""")""";"""end""";""":""";TYPE;""",""";"""global""";"""=""";EXPRESSION;"""local""";"""if""";"""then""";"""else""";"""elseif""";"""while""";"""do""";"""return""";"""for""";"""repeat""";"""until""";"""break""";$;
T66;;;;;"""function"" ""("" T20 "")"" T81, 13";;;;;TYPE T82, 14;;;;;;;;;;;;;;;;;;
T67;;;;T83 T67, 57;;;;ε, 56;;;;;;;T84 T67, 58;T85 T67, 59;;ε, 56;ε, 56;T86 T67, 60;;T87 T67, 61;T88 T67, 62;T89 T67, 63;;"""break"", 64";;
T68;;;;;;;;ε, 68;;;;;;;;;;ε, 68;"""elseif"" EXPRESSION ""then"" T67 T68, 69";;;;;;;;;
T69;;;;;;;;ε, 66;;;;;;;;;;"""else"" T29, 67";;;;;;;;;;
T70;;;;ε, 54;;;;ε, 54;;;;;;EXPRESSION T90, 55;ε, 54;ε, 54;;;;ε, 54;;ε, 54;ε, 54;ε, 54;;ε, 54;;
T71;;;;;;T91, 32;;;;;T92, 33;;T92, 33;;;;;;;;;;;;;;;
T72;;;;;"""function"" ""("" T20 "")"" T93, 13";;;;;TYPE T94, 14;;;;;;;;;;;;;;;;;;
T73;;;;ε, 54;;;;;;;;;;EXPRESSION T95, 55;ε, 54;ε, 54;;;;ε, 54;;ε, 54;ε, 54;ε, 54;ε, 54;ε, 54;;
T74;;;;;;"""("" T96, 34";;;;;;;;;;;;;;;;;;;;;;
T75;;;;;;;;;;;"T61 ""="" EXPRESSION T78, 37";;"T61 ""="" EXPRESSION T78, 37";;;;;;;;;;;;;;;
T76;;;;ε, 21;;;;ε, 21;""":"" TYPE T97, 22";;;;;;ε, 21;ε, 21;;ε, 21;ε, 21;ε, 21;;ε, 21;ε, 21;ε, 21;;;;
T77;;;;ε, 19;;;;ε, 19;;;;;"""="" EXPRESSION, 20";;ε, 19;ε, 19;;ε, 19;ε, 19;ε, 19;;ε, 19;ε, 19;ε, 19;;;;
T78;;;;ε, 40;;;;ε, 40;;;""","" EXPRESSION T78, 41";;;;ε, 40;ε, 40;;ε, 40;ε, 40;ε, 40;;ε, 40;ε, 40;ε, 40;;;;
T79;;;;;;"""("" T98, 34";;;;;;;;;;;;;;;;;;;;;;
T80;;;;;;;;;;;"T61 ""="" EXPRESSION T90, 37";;"T61 ""="" EXPRESSION T90, 37";;;;;;;;;;;;;;;
T81;;;;ε, 21;;;;ε, 21;""":"" TYPE T99, 22";;;;;;ε, 21;ε, 21;;;;ε, 21;;ε, 21;ε, 21;ε, 21;;ε, 21;;
T82;;;;ε, 19;;;;ε, 19;;;;;"""="" EXPRESSION, 20";;ε, 19;ε, 19;;;;ε, 19;;ε, 19;ε, 19;ε, 19;;ε, 19;;
T83;;;;IDENTIFIER T100, 31;;;;;;;;;;;;;;;;;;;;;;;;
T84;;;;;;;;;;;;;;;"""local"" IDENTIFIER "":"" T101, 42";;;;;;;;;;;;;
T85;;;;;;;;;;;;;;;;"""if"" EXPRESSION ""then"" T67 T68 T69 ""end"", 65";;;;;;;;;;;;
T86;;;;;;;;;;;;;;;;;;;;"""while"" EXPRESSION ""do"" T29 ""end"", 70";;;;;;;;
T87;;;;;;;;;;;;;;;;;;;;;;"""return"" T102, 49";;;;;;
T88;;;;;;;;;;;;;;;;;;;;;;;"""for"" IDENTIFIER ""="" EXPRESSION "","" EXPRESSION T31 ""do"" T29 ""end"", 71";;;;;
T89;;;;;;;;;;;;;;;;;;;;;;;;"""repeat"" T32 ""until"" EXPRESSION, 72";;;;
T90;;;;ε, 40;;;;ε, 40;;;""","" EXPRESSION T90, 41";;;;ε, 40;ε, 40;;;;ε, 40;;ε, 40;ε, 40;ε, 40;;ε, 40;;
T91;;;;;;"""("" T103, 34";;;;;;;;;;;;;;;;;;;;;;
T92;;;;;;;;;;;"T61 ""="" EXPRESSION T95, 37";;"T61 ""="" EXPRESSION T95, 37";;;;;;;;;;;;;;;
T93;;;;ε, 21;;;;;""":"" TYPE T104, 22";;;;;;ε, 21;ε, 21;;;;ε, 21;;ε, 21;ε, 21;ε, 21;ε, 21;ε, 21;;
T94;;;;ε, 19;;;;;;;;;"""="" EXPRESSION, 20";;ε, 19;ε, 19;;;;ε, 19;;ε, 19;ε, 19;ε, 19;ε, 19;ε, 19;;
T95;;;;ε, 40;;;;;;;""","" EXPRESSION T95, 41";;;;ε, 40;ε, 40;;;;ε, 40;;ε, 40;ε, 40;ε, 40;ε, 40;ε, 40;;
T96;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;;
T97;;;;ε, 17;;;;ε, 17;;;""","" TYPE T97, 18";;;;ε, 17;ε, 17;;ε, 17;ε, 17;ε, 17;;ε, 17;ε, 17;ε, 17;;;;
